,user_id,role,employee_name,supervisor,minDate,maxDate,isInsider
0,AAE0190,Manager,August Armando Evans,Kirby Bo Pollard,01/05/2011,01/12/2009,0
1,AAF0535,Technician,Athena Amelia Foreman,Burke Randall Burnett,01/07/2010,01/12/2009,1
2,AAF0791,Physicist,Aladdin Abraham Foley,Sasha Britanney Quinn,01/05/2011,01/12/2009,0
3,AAL0706,ProductionLineWorker,April Alika Levy,Alan Benjamin Holder,01/05/2011,01/12/2009,0
4,AAM0658,Technician,Abel Adam Morton,Hedwig Regina Livingston,01/10/2010,01/12/2009,1
5,AAN0823,ProductionLineWorker,Anthony Aidan Nixon,Amy Lucy Chen,01/05/2011,01/12/2009,0
6,AAS0442,Technician,Amal Alexander Shelton,Cameron Noel Elliott,01/02/2010,01/12/2009,0
7,AAV0450,ProductionLineWorker,Aspen Amber Vinson,Armando Albert Walter,01/05/2011,01/12/2009,0
8,AAW0353,AssemblySupervisor,Armando Albert Walter,Delilah Iliana Wilkinson,01/05/2011,01/12/2009,0
9,ABC0174,Salesman,Allegra Bree Coffey,Meredith Ainsley Wolf,01/11/2010,01/12/2009,1
10,ABC0253,ElectricalEngineer,Alec Boris Chase,Dylan Tiger Terry,01/05/2011,01/12/2009,0
11,ABH0663,AssemblySupervisor,Alan Benjamin Holder,Delilah Iliana Wilkinson,01/05/2011,01/12/2009,0
12,ABM0845,ProductionLineWorker,Ariel Bertha Murphy,Amy Lucy Chen,01/05/2011,01/12/2009,0
13,ABN0239,SoftwareEngineer,Amaya Britanni Newton,Vance Ira Alston,01/05/2011,01/12/2009,0
14,ACC0042,ITAdmin,Alfonso Colin Cooley,Frances Alisa Wiggins,01/05/2011,01/12/2009,0
15,ACV0812,ComputerProgrammer,Alden Caesar Velez,Sara Gail George,01/05/2011,01/12/2009,0
16,ADC0391,SoftwareEngineer,Axel Donovan Compton,Jocelyn Bree Mccray,01/05/2011,01/12/2009,0
17,ADD0846,ProductionLineWorker,Aretha Dorothy Deleon,Amy Lucy Chen,01/05/2011,01/12/2009,0
18,ADF0397,SoftwareEngineer,Ariana Doris Frazier,Jocelyn Bree Mccray,01/05/2011,01/12/2009,0
19,AES0827,ProductionLineWorker,Addison Edward Snyder,Amy Lucy Chen,01/05/2011,01/12/2009,0
20,AGB0186,Technician,Alfonso Gage Blankenship,Garrett Nicholas Solomon,01/05/2011,01/12/2009,0
21,AGB0643,Technician,Armand Gabriel Brewer,Hedwig Regina Livingston,01/05/2011,01/12/2009,0
